crypto_map,seq,peer,match_acl,ikev1_transform,ikev2_proposal,pfs,phase1_mode,conn_type,sa_lifetime,nat_t_disable
Outside_map1,1,206.105.110.7,Outside_1_cryptomap,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,3,121.241.116.210,Outside_cryptomap_2,ESP-3DES-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,4,156.55.167.4,Outside_cryptomap,ESP-AES-256-SHA,,group2,,bidirectional,,no
Outside_map1,5,1.1.1.1,Outside_5_cryptomap,,,group14,,bidirectional,,no
Outside_map1,6,209.210.196.196,Outside_cryptomap_3,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,7,65.216.170.130,Outside_7_cryptomap,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,8,66.54.164.61,Outside_cryptomap_5,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,9,205.145.108.10,Outside_cryptomap_6,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,11,204.107.52.50,Outside_cryptomap_8,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,13,141.202.179.17,Outside_cryptomap_10,ESP-3DES-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,15,198.39.200.20,Outside_cryptomap_12,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,17,64.9.35.4,test,ESP-AES-256-SHA,,group2,,bidirectional,kilobytes 4194303,no
Outside_map1,19,203.123.184.124,Outside_cryptomap_16,ESP-AES-256-SHA,,group2,,bidirectional,seconds 3600,no
Outside_map1,20,67.91.179.229,Outside_cryptomap_17,ESP-AES-256-SHA,,group2,,bidirectional,kilobytes 4194303,no
Outside_map1,21,129.33.201.96,Outside_cryptomap_18,,,group14,,bidirectional,,no
Outside_map1,22,129.33.201.104,Outside_cryptomap_19,ESP-3DES-MD5,,,,bidirectional,,no
Outside_map1,23,203.99.209.250,,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,24,208.74.228.19,Outside_cryptomap_21,ESP-AES-128-SHA,,,,bidirectional,,no
Outside_map1,28,192.149.125.5,Outside_cryptomap_25,,AES256-SHA256 Cognizant-Transform AES256 AES192 AES 3DES DES test,group14,,bidirectional,,no
Outside_map1,29,207.54.145.2,Outside_cryptomap_26,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,32,129.33.201.122,Outside_cryptomap_29,ESP-3DES-MD5,,,,bidirectional,,no
Outside_map1,33,210.7.64.202,Outside_cryptomap_30,ESP-AES-256-SHA,,group2,,bidirectional,seconds 3600,no
Outside_map1,34,129.33.201.64,Outside_cryptomap_31,ESP-3DES-MD5,,,,bidirectional,,no
Outside_map1,35,153.65.16.23,Outside_cryptomap_32,ESP-3DES-SHA,,group2,,bidirectional,,no
Outside_map1,37,8.36.138.249,TUFTS_ACL,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,38,128.249.1.174,Outside_cryptomap_35,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,39,4.21.120.134,Outside_cryptomap_36,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,40,204.225.133.149,Outside_cryptomap_40,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,42,167.211.204.4,Outside_cryptomap_38,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,43,208.66.124.17,Outside_cryptomap_39,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,44,207.166.201.126,Outside_cryptomap_41,ESP-3DES-MD5,,,,bidirectional,,no
Outside_map1,45,206.230.63.2,Outside_cryptomap_42,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,46,203.123.151.180,Outside_cryptomap_43,ESP-AES-256-SHA,,group2,,bidirectional,seconds 3600,no
Outside_map1,47,204.232.254.82,Outside_cryptomap_44,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,49,192.196.243.2,Outside_cryptomap_49,ESP-AES-128-SHA ESP-AES-128-MD5 ESP-AES-192-SHA ESP-AES-192-MD5 ESP-AES-256-SHA ESP-AES-256-MD5 ESP-3DES-SHA ESP-3DES-MD5 ESP-DES-SHA ESP-DES-MD5,,,,bidirectional,,no
Outside_map1,52,204.251.204.162,Outside_cryptomap_47,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,57,50.58.81.4,Outside_cryptomap_54,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,58,40.0.46.175,Outside_cryptomap_55,ESP-3DES-MD5,,,,bidirectional,,yes
Outside_map1,59,12.131.122.20,Outside_cryptomap_56,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,60,199.204.139.93,Outside_cryptomap_57,ESP-AES-256-SHA,,,,bidirectional,seconds 28800,no
Outside_map1,61,69.71.58.140,Outside_cryptomap_58,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,63,208.31.35.82,Outside_cryptomap_60,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,64,204.75.145.14,Outside_cryptomap_61,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,65,66.192.173.201,Outside_cryptomap_62,ESP-AES-128-MD5,,,,bidirectional,,yes
Outside_map1,66,204.75.144.14,Outside_cryptomap_63,ESP-AES-256-SHA,,,,bidirectional,seconds 3600,no
Outside_map1,67,64.73.134.126,Outside_cryptomap_64,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,70,12.133.35.1,Outside_cryptomap_70,ESP-AES-256-SHA,,,,bidirectional,,no
Outside_map1,71,170.48.8.53,Outside_cryptomap_67,ESP-3DES-SHA,,,,bidirectional,,no
Outside_map1,72,67.102.49.196,Outside_cryptomap_72,ESP-3DES-SHA,,,,bidirectional,,no
