Peer IP,Peer PTR (rDNS),Verified A Records,Match
1.1.1.1,one.one.one.one.,,false
103.60.213.36,,,
107.198.23.9,107-198-23-9.lightspeed.rcsntx.sbcglobal.net.,,false
108.166.101.205,,,
116.66.144.17,,,
12.1.91.12,,,
12.11.185.226,,,
12.116.74.138,,,
12.129.4.150,,,
12.130.155.4,,,
12.131.122.20,,,
12.133.35.1,,,
12.147.152.4,,,
12.177.82.110,,,
12.197.237.98,,,
12.41.123.51,,,
12.89.73.10,,,
120.138.242.130,; <<>> DiG 9.10.6 <<>> +timeout=2 +tries=1 -x 120.138.242.130 +short;;; connection timed out; no servers could be reached;;; global options: +cmd,,false
120.29.232.2,,,
121.241.116.210,121.241.116.210.static-delhi.vsnl.net.in.,,false
121.241.146.28,121.241.146.28.static-chennai.vsnl.net.in.,,false
122.15.124.50,,,
122.98.118.5,,,
124.6.128.38,,,
128.136.204.97,,,
128.249.1.174,,,
129.150.118.167,oc-129-150-118-167.compute.oraclecloud.com.,,false
129.33.201.104,,,
129.33.201.120,,,
129.33.201.122,,,
129.33.201.128,,,
129.33.201.64,,,
129.33.201.70,,,
129.33.201.96,,,
129.80.224.14,,,
137.236.241.90,,,
14.140.94.85,thn1wfhgateway.teleperformancedibs.com.,,false
14.141.183.28,14.141.183.28.static-ernakulam.vsnl.net.in.141.14.in-addr.arpa.,,false
140.177.8.79,web-partners-vpn3.wolfram.com.,,false
141.202.179.17,,,
143.112.112.1,,,
143.112.123.68,,,
143.112.144.250,,,
143.112.144.68,,,
153.65.16.23,; <<>> DiG 9.10.6 <<>> +timeout=2 +tries=1 -x 153.65.16.23 +short;;; connection timed out; no servers could be reached;;; global options: +cmd,,false
156.55.150.225,,,
156.55.167.4,,,
157.154.11.1,,,
159.136.224.25,reverse-159.136.224.25.bcbsmn.com.,,false
159.87.17.249,,,
160.109.98.44,mx1.wkglobal.com.,,false
160.34.15.221,,,
162.212.53.1,,,
162.249.247.230,vpn01.cbnms.com.,,false
162.95.216.203,,,
165.253.34.140,,,
165.85.175.55,,,
166.82.46.100,h100.46.82.166.static.ip.windstream.net.,,false
167.211.204.4,,,
167.219.88.145,,,
169.55.78.243,f3.4e.37a9.ip4.static.sl-reverse.com.,,false
170.251.232.6,,,
170.251.233.6,,,
170.48.8.53,,,
170.69.178.2,,,
170.69.2.4,,,
184.80.140.146,static-184-80-140-146.t1.cavtel.net.,,false
192.149.125.5,,,
192.196.243.2,,,
196.28.62.143,196-28-62-143.prtc.net.,,false
198.23.27.18,,,
198.39.200.20,,,
198.98.14.3,,,
199.127.148.10,,,
199.168.255.150,,,
199.180.187.93,vpn-6.firehost.com.,,false
199.187.89.10,,,
199.187.89.11,,,
199.204.139.93,,,
199.204.59.137,ub3-1-fwcc-1.epic.com.,,false
199.230.170.205,,,
199.4.160.141,,,
20.12.178.27,,,
201.151.149.170,static-201-151-149-170.alestra.net.mx.,,false
203.123.146.242,; <<>> DiG 9.10.6 <<>> +timeout=2 +tries=1 -x 203.123.146.242 +short;;; connection timed out; no servers could be reached;;; global options: +cmd,,false
